#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B21C9E
#Date Time: 2024-03-03 18:45:10.000
#Start: 10 Hz
#Stop: 20000 Hz
#Steps: 1001
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 1
#Range: 5.55361 V
#Offset: -0.000184537 V
#Relative: no
#Channel: Channel 2
#Range: 5.63147 V
#Offset: -0.000217631 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Magnitude THD+N (dB),Channel 2 Magnitude (dB),Channel 2 Magnitude THD+N (dB),Channel 2 Phase (deg)
11.29318597019661,-0.1305258487906679,-59.94734739049911,-0.1954719922143838,-56.62748540020174,26.13536829229789
11.37935142799242,-0.1305449630003145,-61.295357086265,-0.1913457452764025,-57.37052542920351,25.94476634002099
11.46617431639608,-0.1303372032178178,-61.19373015043954,-0.1875176424340209,-57.58336963102575,25.75442958207312
11.55365965151287,-0.1305178056192911,-61.10045354358142,-0.1837473132087166,-57.68862371218832,25.56657222095924
11.64181248772018,-0.1305231215761593,-61.34516608664045,-0.1800252021123489,-57.77171558738591,25.3804798388748
11.73063791795968,-0.1307880877599603,-58.58885111810861,-0.1762402680279061,-56.41268581018421,25.19350137058008
11.82014107403143,-0.130870551335647,-58.4108444124784,-0.1725236906424843,-56.46766102381024,25.01141212736369
11.91032712689045,-0.1306328006776576,-58.30237718181043,-0.1691311810015929,-56.36931549422647,24.82726521459413
12.00120128694543,-0.1306163520924569,-61.14567669606551,-0.1656405050129767,-58.43571759168398,24.6468125375529
12.09276880435975,-0.1305327111861133,-61.27310857484037,-0.1620377574719699,-58.48166738399851,24.46655749069627
12.18503496935486,-0.1307206450884244,-61.30456933860451,-0.1583634231361091,-58.60080977541041,24.28690489654786
12.27800511251579,-0.1306956401776901,-61.07265924916387,-0.1550878911313084,-58.66217444899636,24.110402732806
12.3716846050993,-0.1304040568491457,-61.27367835781276,-0.1516857180962026,-58.89852437107515,23.93341458830412
12.46607885934403,-0.1305838571541675,-59.79470443434145,-0.1482984530328726,-57.98591719791602,23.76015612623899
12.56119332878326,-0.1306478080778208,-61.21576452993042,-0.1450286440542069,-58.94274667217086,23.5866887668596
12.65703350856005,-0.1304929885472978,-61.08000897536414,-0.1419822557923399,-59.08024021266154,23.41525758357028
12.75360493574454,-0.1307713598273468,-58.75890861804382,-0.1384726463681239,-57.40934680609804,23.24609197433202
12.85091318965406,-0.1306657092844108,-61.09722292209773,-0.1354607561489893,-59.11907889293265,23.07610662101737
12.9489638921753,-0.1305703455573153,-58.72279652603229,-0.1324955783903281,-57.61785483041434,22.90757658960241
13.04776270808917,-0.1304865394350926,-61.18114591693789,-0.1293873058900421,-59.36345130021807,22.73872458194646
13.14731534539812,-0.1304732729824935,-61.25023183387625,-0.1265890483519171,-59.38385493300707,22.57373509424232
13.24762755565585,-0.1303787533746853,-60.94032467827105,-0.123505251964062,-59.42752273831363,22.40922464955805
13.34870513429963,-0.1304559390951446,-61.23781818942917,-0.1205331270781241,-59.54271791538638,22.24560245012935
13.45055392098512,-0.1305351584391285,-59.92730240932175,-0.1175303185864637,-58.62994753157565,22.08256615079124
13.55317979992375,-0.1306044678876033,-59.57381582171554,-0.1146913016304856,-58.49957746208319,21.92241119903146
13.65658870022268,-0.1305647588355353,-61.0436829587189,-0.1120679201425063,-59.74170651030044,21.76283861458544
13.76078659622732,-0.1307280084068559,-61.19840981367826,-0.1090920467543275,-59.83206238839902,21.60355852851404
13.86577950786656,-0.1307783428950433,-58.94479842464109,-0.1064074156020784,-58.15133469147634,21.4460440242995
13.97157350100047,-0.1306858232825812,-60.35832106705958,-0.1038356668675544,-59.44638295396335,21.2914621822312
14.07817468777084,-0.1306056085653501,-61.33239865927112,-0.1007923630639582,-60.06226489912051,21.13553237756303
14.18558922695423,-0.1306443857527861,-61.16326868668529,-0.09809597164065846,-60.16064814383212,20.9813910854708
14.29382332431786,-0.1306054272044932,-61.32640333023906,-0.09581168020230973,-60.13999853133603,20.82814097425326
14.40288323297805,-0.1306703723392457,-61.34000763869081,-0.09306140831175076,-60.19239505981894,20.67618394499948
14.51277525376157,-0.130862243405001,-59.41745809400227,-0.09065700001598273,-58.64186141035101,20.52511210336025
14.62350573556964,-0.1308661084087759,-58.73293137889439,-0.08798812521084096,-58.12638796444516,20.37469897718586
14.7350810757447,-0.1308878068356685,-59.54007716348834,-0.08546576119083543,-58.92654525242493,20.22668339518512
14.84750772044005,-0.1306906043898284,-58.66076788037546,-0.08295871357542875,-58.07371106256617,20.07818589683961
14.96079216499225,-0.1306004670031939,-61.22808789063002,-0.08079789440845866,-60.49783236269452,19.9298281303982
15.07494095429639,-0.1305683852779825,-61.05131024957789,-0.07858738011039527,-60.32039748070531,19.78559407200615
15.18996068318421,-0.1306539272209776,-59.15204614500816,-0.07618486936600934,-58.59882633745735,19.640071304141
15.30585799680509,-0.1307685881709671,-58.54638490903443,-0.07393630581586447,-58.20083376293333,19.49651935823495
