#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B21C9E
#Date Time: 2024-03-03 18:10:57.504
#Start: 10 Hz
#Stop: 20000 Hz
#Steps: 10001
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 1
#Range: 5.55361 V
#Offset: -0.000184537 V
#Relative: no
#Channel: Channel 2
#Range: 5.63147 V
#Offset: -0.000217631 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Magnitude THD+N (dB),Channel 2 Magnitude (dB),Channel 2 Magnitude THD+N (dB),Channel 2 Phase (deg)
11.12280747163202,-0.1303924735561895,-60.84160705905279,-0.2019098488459954,-59.7334564292528,21.02134684909387
11.13126502294278,-0.1304309149937937,-60.77892244257854,-0.2014695567713174,-59.49456416173476,20.99918911258293
11.13972900519953,-0.1303223583248233,-60.90660745355892,-0.2009106373533308,-59.34624157151639,20.97808826928294
11.14819942329222,-0.1304327741208908,-61.00969766854647,-0.2005810315804038,-59.50294996895457,20.95603544188346
11.15667628211456,-0.1304022498009354,-60.62413965614495,-0.2003389692561574,-59.34580619489439,20.93491283899905
11.16515958656392,-0.1304367280482474,-60.19630289404427,-0.1998810261818232,-58.94470223746115,20.91281117841809
11.17364934154143,-0.1302506820619916,-59.01476074646119,-0.199391938473637,-57.89689341178252,20.89188370941054
11.18214555195193,-0.1303174455472559,-60.96441137263069,-0.1989708390553776,-59.5825604713911,20.86958947136952
11.19064822270401,-0.1302165703953423,-61.00991188029806,-0.1986157138244532,-59.53661104081769,20.84763104518886
11.19915735870996,-0.1303933563104311,-58.64661047487775,-0.1982019556443556,-57.68719450103448,20.82611705549525
11.20767296488584,-0.130229299890539,-60.44073593073507,-0.1980123068694454,-59.05708277877157,20.80350563602723
11.21619504615141,-0.1302501467242035,-60.9919053574076,-0.1977077036108109,-59.63195512946151,20.78225504633244
11.22472360743023,-0.1302576115931055,-60.98760803235188,-0.1972871956021318,-59.66924890680228,20.76120205766262
11.23325865364954,-0.1304762193978,-59.08601368709923,-0.196561609325055,-58.00728707042255,20.73983605055825
11.24180018974037,-0.1304046757066432,-58.21073236331485,-0.1960359942211547,-57.48709772334671,20.71803561289749
11.25034822063746,-0.1305019244891182,-61.07107718421127,-0.1953392103146263,-59.48489963931826,20.69644719081364
11.25890275127934,-0.1304485543587865,-61.06006194828817,-0.1950416566040507,-59.37230118696453,20.67377108206448
11.26746378660831,-0.1306161811048811,-60.90389182563135,-0.1944774498737527,-59.60984310856347,20.65462619342722
11.27603133157034,-0.1305754349106557,-60.87366452833426,-0.1943435832654486,-59.47670072468848,20.63197784238957
